排名,视频名,作者,IP地址,摘要,观看网址,观看次数,点赞数,收藏数,投币数,转发数
1,这场【全球审美大降级】属实给我整混乱了……,塑料叉FOKU,上海,审美水平真的下降了吗？,https://b23.tv/BV1fc41167r3,7745265,387151,109681,67562,18886
2,朋友你们帮我看看问题到底出现在哪里？,口技小青年,江苏,京中有善口技者,https://b23.tv/BV1ju4y1j7jk,7343658,479012,100660,112042,122039
3,【硬件科普】从零开始认识主板,硬件茶谈,河北,从零认识主板,https://b23.tv/BV1xQ4y1b7JS,2638629,235092,192233,152781,13371
4,满足了甲方奇怪的癖好,逗比的雀巢,四川,省流：甲方的脸都气黑了,https://b23.tv/BV1BC4y1j7dr,8615769,542174,54517,80393,14009
5,最传奇的上古帝王 | 从被虐待，到君临天下！,木鱼水心,北京,从孤苦少年，到第一位平民天子，舜帝是如何改写命运的？,https://b23.tv/BV12H4y1q7bx,2170563,228845,69065,170286,4634
6,章~鱼~哥~来~咯~,老番茄,韩国,省流：《章鱼村》,https://b23.tv/BV1Hw411K7Fx,4025390,291310,85202,130767,11385
7,当北方人第一次在南方过冬,粤知一二,广东,北方和南方不是同一种冷,https://b23.tv/BV1Gj411J76q,6253148,428184,31459,8491,6279
8,《绝区零》比利角色展示 | 骑士登场！,绝区零,上海, 欢迎来到新艾利都！,https://b23.tv/BV1tN4y1m7d5,4036136,424655,71285,74923,41202
9,《原神》过场动画-「罪人的终幕」,原神,上海,神爱众人，芙门永存,https://b23.tv/BV1vu4y1b7Y9,3160683,281941,106251,188514,27697
10,探秘中国国宴！开国第一宴！10道国宴菜！都吃什么？,HOLA小测佬,西班牙,吃国宴是一种什么样的体验,https://b23.tv/BV1Dz4y1N7XT,5706158,413941,55053,89901,11131
11,第一次去拍网红写真 没想到要穿露背装 当场崩溃,假美食po主,英国,浪浪体验拍写真,https://b23.tv/BV1Rj411j7Fq,2786386,123634,15353,44839,5412
12,这十六分钟真的能讲完你那波澜壮阔的十年吗,一张照片LOL,上海,Faker的登神之路,https://b23.tv/BV12a4y1S7GR,3576376,233433,104013,224157,53249
13,"""Cheems，你枪里装的是珍珠软糖吗？""",一大筐会飞的草莓,广东,猫和老鼠出新版了？,https://b23.tv/BV1dw411N7VG,2222588,208816,45620,35735,8677
14,3兄弟体验上海东北饺子馆菜量，被coco笑话冻死…,盗月社食遇记,上海,上海东北菜大测评,https://b23.tv/BV1CH4y127gA,2923017,161332,20822,94445,7997
15,红魔9Pro上手体验：教科书级游戏性能,极客湾Geekerwan,上海,红魔9Pro都有哪些亮点？,https://b23.tv/BV14M411f7R7,1994323,94589,8688,14670,15018
16,小伙用高智能AI生成的魔仙李云龙,主观哥哥,黑龙江,AI无法代替人类的证据（doge,https://b23.tv/BV11Q4y1t7mG,1366588,90366,18415,7327,10342
17,《无期迷途》全新主线章节——「弱者」,无期迷途,上海,期待新主线！,https://b23.tv/BV1Wg4y1X7oi,1687995,51705,11316,27029,10943
18,百炼成金，四冠登神！Faker无需向众神祈祷，因为众神传颂的都是你的名号！LOL史上第一人再登巅峰！,裴一言,辽宁,你的存在就是传奇,https://b23.tv/BV18N4y1S7vP,1872040,77046,30463,50942,6277
19,最 强 的 矛,某幻君,上海,最强的矛能有多强？,https://b23.tv/BV16N4y1m7bB,3256091,189098,20862,23024,943
20,【英雄联盟】2024赛季玩法介绍,英雄联盟,上海,准备迎接一月份的峡谷吧！,https://b23.tv/BV1sj411J7iS,1581232,65272,7264,6917,51795
21,四喜丸子,八零徐姥姥,辽宁,这么可爱又幽默的姥姥我也想要,https://b23.tv/BV14H4y1q7xq,1293506,133182,5033,9541,2640
22,生活中，我时常觉得自己有一些超能力,papi酱,北京,有点监视我生活了,https://b23.tv/BV17u4y157Jv,2601054,227466,6416,11056,5149
23,薛定谔的胖铁盒,幾加乘,广东,小馋猫历险记,https://b23.tv/BV1yC4y1m7Ur,1306997,165929,23407,50660,17603
24,【罗翔】张三弄虚作假却风生水起，做真好人真难！经验世界无法给人自洽，我们该怎么办？,罗翔说刑法,北京,不如像清风明月一样做好自己,https://b23.tv/BV1k94y1V7vV,1593326,160577,19400,32402,6367
25,完美解决祖父悖论！究极烧脑的悬疑科幻《前目的地》,培根悖论唠唠嗑,北京,爱上自己、生下自己、杀死自己的烧脑设定,https://b23.tv/BV1mC4y1m7Cz,2374968,92830,50609,17375,7439
26,《掠影纷争》首曝PV | 向世界挥拳,掠影纷争,上海,做自己的英雄，向世界挥拳,https://b23.tv/BV1rv411F7QD,1671476,16145,4683,2783,3698
27,【BA】钢铁侠大战美国队长！谁才是对的？！万字解析《美国队长3：内战》！,BuriedAlien,韩国,显微镜级别的美队3解读！,https://b23.tv/BV1hN4y1m7JS,1268494,72773,24534,48323,2486
28,大胆点，向前跑，我们的青春本该热烈。,大圆哥_,河南,趁着年轻勇敢去做吧,https://b23.tv/BV1uz4y1A71h,2638783,260502,29046,97738,9426
29,这是史上最会玩梗的游戏作者（,二控_,上海,这是什么宝藏游戏？,https://b23.tv/BV1fw411A7S9,1311860,34120,6443,1757,659
30,《重返未来：1999》1.5版本PV：复兴！乌卢鲁运动会,重返未来1999,广东,从交叠的指缝中，火光重新燃起,https://b23.tv/BV1PG411D7nH,1895836,74040,14276,23067,17888
