排名,电影,导演,主演,时间,国家,类型,评分,评价人数（人）,评语
1,肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯,1994,美国,犯罪 剧情,9.7,2962044,希望让人自由。
2,霸王别姬,陈凯歌 Kaige Chen,张国荣,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2188581,风华绝代。
3,阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯,1994,美国,剧情 爱情,9.5,2207560,一部美国近现代史。
4,泰坦尼克号,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥,1997,美国 墨西哥,剧情 爱情 灾难,9.5,2242855,失去的才是永恒的。 
5,这个杀手不太冷,吕克·贝松 Luc Besson,让·雷诺,1994,法国 美国,剧情 动作 犯罪,9.4,2339316,怪蜀黍和小萝莉不得不说的故事。
6,千与千寻,宫崎骏 Hayao Miyazaki,柊瑠美,2001,日本,剧情 动画 奇幻,9.4,2290841,最好的宫崎骏，最好的久石让。 
7,美丽人生,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼,1997,意大利,剧情 喜剧 爱情 战争,9.5,1353177,最美的谎言。
8,星际穿越,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,1899124,爱是一种力量，让我们超越时空感知它的存在。
9,盗梦空间,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,2110821,诺兰给了我们一场无法盗取的梦。
10,辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森,1993,美国,剧情 历史 战争,9.5,1143069,拯救一个人，就是拯救整个世界。
11,楚门的世界,彼得·威尔 Peter Weir,金·凯瑞,1998,美国,剧情 科幻,9.4,1760155,如果再也不能见到你，祝你早安，午安，晚安。
12,忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔,2009,美国 英国,剧情,9.4,1423048,永远都不能忘记你所爱的人。
13,海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯,1998,意大利,剧情 音乐,9.3,1710461,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1895206,英俊版憨豆，高情商版谢耳朵。
15,放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,9.3,1340436,天籁一般的童声，是最接近上帝的存在。 
16,机器人总动员,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特,2008,美国,科幻 动画 冒险,9.3,1344310,小瓦力，大人生。
17,疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,美国,喜剧 动画 冒险,9.2,1991706,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
18,无间道,刘伟强 / 麦兆辉,刘德华,2002,中国香港,剧情 犯罪 惊悚,9.3,1398138,香港电影史上永不过时的杰作。
